ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_Expression_COL1A2_20,Neighbors_AngleBetweenNeighbors_Expression_FOXP3_20,Neighbors_AngleBetweenNeighbors_Expression_PDGFRA_20,Neighbors_FirstClosestDistance_Expression_COL1A2_20,Neighbors_FirstClosestDistance_Expression_FOXP3_20,Neighbors_FirstClosestDistance_Expression_PDGFRA_20,Neighbors_FirstClosestObjectNumber_Expression_COL1A2_20,Neighbors_FirstClosestObjectNumber_Expression_FOXP3_20,Neighbors_FirstClosestObjectNumber_Expression_PDGFRA_20,Neighbors_NumberOfNeighbors_Expression_COL1A2_20,Neighbors_NumberOfNeighbors_Expression_FOXP3_20,Neighbors_NumberOfNeighbors_Expression_PDGFRA_20,Neighbors_PercentTouching_Expression_COL1A2_20,Neighbors_PercentTouching_Expression_FOXP3_20,Neighbors_PercentTouching_Expression_PDGFRA_20,Neighbors_SecondClosestDistance_Expression_COL1A2_20,Neighbors_SecondClosestDistance_Expression_FOXP3_20,Neighbors_SecondClosestDistance_Expression_PDGFRA_20,Neighbors_SecondClosestObjectNumber_Expression_COL1A2_20,Neighbors_SecondClosestObjectNumber_Expression_FOXP3_20,Neighbors_SecondClosestObjectNumber_Expression_PDGFRA_20,Number_Object_Number,Parent_Cells
1,1,971.7781801720236,22.357627885921232,0,20.38560715840907,0.0,7.808980735911053,14.985036379713996,0.0,431.3907438069893,54,0,16,14.0,0.0,0.0,45.18828451882845,0.0,0.0,16.97105318373444,0.0,434.8526840738372,43,0,20,1,19
1,2,1605.7347242921014,30.165921510183804,0,18.15304224593379,0.0,5.869417212070533,8.731864056110629,0.0,78.98932545512304,65,0,8,45.0,0.0,0.0,62.38532110091743,0.0,0.0,9.728913621174263,0.0,80.6470242751135,63,0,6,2,28
1,3,1288.5443613041155,29.634954569748796,0,13.501442557873707,0.0,4.291269431958112,30.66909089457813,0.0,175.4545897722914,25,0,10,5.0,0.0,0.0,22.295081967213115,0.0,0.0,31.32618537094714,0.0,178.1466072090175,8,0,13,3,29
1,4,1025.4021019852082,44.89217594394706,0,1.2649801666720024,0.0,8.980076070526765,34.53118403161591,0.0,373.5538333656786,56,0,16,14.0,0.0,0.0,20.689655172413794,0.0,0.0,36.88187310617505,0.0,378.5329809197953,52,0,20,4,34
1,5,1521.022355024347,66.54249667994688,0,60.4552760061586,0.0,111.49025486532807,2.382143898910135,0.0,9.128670981777875,94,0,9,47.0,0.0,11.0,75.3048780487805,0.0,53.65853658536585,4.982672352360959,0.0,10.873166295516388,93,0,12,5,45
1,6,1462.8072398190045,85.6262443438914,0,34.69976617109899,0.0,95.5938270578627,2.0948050428046714,0.0,2.0073775703582064,111,0,15,30.0,0.0,5.0,40.645161290322584,0.0,27.096774193548388,3.5200757787663792,0.0,8.126512055866282,112,0,13,6,63
1,7,1362.7548722390645,82.7059333044608,0,32.40902453924869,0.0,4.982094370887106,16.398006849650248,0.0,97.3589270765999,118,0,13,10.0,0.0,0.0,42.35807860262009,0.0,0.0,20.774220452653516,0.0,98.3183608023076,128,0,15,7,64
1,8,1592.0437001594896,100.78883572567783,0,157.40805414516302,0.0,15.81938142782607,1.8058160382611732,0.0,72.08227130562558,125,0,12,6.0,0.0,0.0,28.74015748031496,0.0,0.0,5.328849121781962,0.0,73.30835412690777,119,0,8,8,70
1,9,1358.1830985915492,135.18252371371085,0,6.709245399811143,0.0,119.76224437295738,19.906622878932776,0.0,93.09500958446573,141,0,16,12.0,0.0,0.0,67.6470588235294,0.0,0.0,21.708905568588484,0.0,113.75984937741045,139,0,15,9,86
1,10,995.9360138348466,209.9554690877648,0,155.63083932954683,0.0,1.5736204318147125,0.8524924578957834,0.0,333.7586871433939,153,0,20,34.0,0.0,0.0,56.75675675675676,0.0,0.0,2.3500523859938087,0.0,338.53192474265086,155,0,18,10,132
1,11,1377.1131790744466,221.82293762575452,0,28.15061560308763,0.0,33.33616028874163,22.16785688552513,0.0,26.833826058716205,182,0,16,61.0,0.0,2.0,55.96590909090909,0.0,21.022727272727273,26.833826058716205,0.0,62.54478734810972,168,0,17,11,137
1,12,1007.215503875969,241.21291989664084,0,40.380704295956534,0.0,1.5693748772601506,5.85569836744257,0.0,317.4554095972752,181,0,20,45.0,0.0,0.0,81.60377358490567,0.0,0.0,6.5976892091955195,0.0,323.0299446147742,184,0,18,12,145
1,13,1321.997159090909,235.58920454545455,0,6.698463299856254,0.0,83.65566316256749,14.478452236273723,0.0,29.97933965968547,192,0,16,28.0,0.0,3.0,49.746192893401016,0.0,44.16243654822335,15.655219594991953,0.0,33.968726169333316,189,0,17,13,148
1,14,1370.2538190364278,270.00313356835096,0,22.01987651171903,0.0,18.582400653058468,19.84320019306682,0.0,30.823946742695092,255,0,19,88.0,0.0,4.0,86.82170542635659,0.0,33.333333333333336,21.322952640645234,0.0,36.17994077042765,228,0,17,14,162
1,15,1487.7072143233281,266.0094786729858,0,2.3520703764729207,0.0,2.7185539369091916,18.8999466364494,0.0,106.10650001964989,277,0,22,23.0,0.0,0.0,40.18691588785047,0.0,0.0,22.370034537138825,0.0,107.65239136566777,281,0,21,15,166
1,16,1003.7686182669789,281.7194379391101,0,6.322458012990873,0.0,1.423562486407134,19.500201401042613,0.0,318.5713288342259,270,0,20,20.0,0.0,0.0,76.98744769874477,0.0,0.0,20.18151540523645,0.0,325.20874635058914,260,0,18,16,174
1,17,1325.0048452220726,295.107402422611,0,52.979524541686004,0.0,51.13936547746967,5.131348532364295,0.0,15.670140281968553,296,0,20,45.0,0.0,4.0,63.87959866220736,0.0,31.103678929765888,12.01362307385737,0.0,23.29180150226616,291,0,19,17,177
1,18,1052.5868789459237,324.092643425748,0,31.036862922226007,0.0,1.4182373363994674,30.821950961737027,0.0,273.3803523766426,332,0,20,8.0,0.0,0.0,26.70940170940171,0.0,0.0,52.105003984041616,0.0,281.18488534365855,271,0,18,18,190
1,19,1455.8830482115086,312.70793157076207,0,106.47000932589275,0.0,3.774947407852218,6.247118492892437,0.0,58.787803080471775,350,0,22,60.0,0.0,0.0,82.83582089552239,0.0,0.0,6.782977186375869,0.0,61.564946869853486,333,0,25,19,193
1,20,1395.9794392523365,320.22782969885776,0,178.61569141523745,0.0,161.66147788461865,1.228001837841304,0.0,2.3293229752629308,353,0,21,103.0,0.0,5.0,75.60386473429952,0.0,10.869565217391305,2.7722465479966845,0.0,3.039061979589687,358,0,22,20,199
1,21,1513.4486649116209,361.03535163595336,0,105.42139953434373,0.0,2.2592446243886584,1.3007402616850976,0.0,121.76030601558679,389,0,22,62.0,0.0,0.0,95.29411764705883,0.0,0.0,1.8197379898209376,0.0,122.28080000762671,385,0,25,21,220
1,22,1325.8772878535774,375.1202163061564,0,20.974683514275426,0.0,2.7483647718807225,8.794276412674918,0.0,57.59150937346764,392,0,27,12.0,0.0,0.0,50.806451612903224,0.0,0.0,9.456440879213487,0.0,58.37322876417127,397,0,28,22,231
1,23,1524.0377516778524,398.8338926174497,0,91.35150719752353,0.0,1.8718622095520434,5.168586032904325,0.0,146.81203623441328,446,0,25,46.0,0.0,0.0,99.45945945945945,0.0,0.0,6.992360889674536,0.0,147.3822330535553,441,0,22,23,244
1,24,1486.7238879736408,425.39209225700165,0,45.848871653327485,0.0,1.866692952734558,2.7065100395846513,0.0,133.83507637298993,470,0,25,70.0,0.0,0.0,96.36363636363636,0.0,0.0,3.0216221989171608,0.0,135.8644772765878,471,0,22,24,256
1,25,1322.1079074585634,432.0400552486188,0,5.430991976936988,0.0,6.950571874077958,33.50213034111171,0.0,24.72629002982446,485,0,29,7.0,0.0,4.0,23.86634844868735,0.0,8.1145584725537,34.63237265485411,0.0,24.73130298630323,480,0,27,25,260
1,26,1526.1541237113402,438.94278350515464,0,18.251759555804696,0.0,1.5294281427136323,14.283618542196034,0.0,171.67202071959414,475,0,25,36.0,0.0,0.0,90.69767441860465,0.0,0.0,15.676898840825068,0.0,173.1674456968902,484,0,22,26,261
1,27,1572.4056311881188,453.01887376237624,0,18.408755375750673,0.0,1.2446140037360052,28.53941350269311,0.0,216.79414950412365,493,0,25,10.0,0.0,0.0,38.888888888888886,0.0,0.0,29.02985133139063,0.0,217.85801685909408,487,0,22,27,269
1,28,1453.9117524916944,487.16964285714283,0,8.637826886132551,0.0,0.8152402019843509,29.45994495327899,0.0,117.234901257971,513,0,30,44.0,0.0,0.0,38.57566765578635,0.0,0.0,30.439464540915427,0.0,119.76619327411031,520,0,28,28,290
1,29,1321.6123521681998,485.8449408672799,0,10.862215136737571,0.0,3.1591963306161808,23.71902844549121,0.0,59.60999613599293,536,0,29,12.0,0.0,0.0,44.49339207048458,0.0,0.0,26.830165970326362,0.0,61.998676420614615,537,0,30,29,291
1,30,1245.9041233657392,481.5263157894737,0,9.87599456587519,0.0,108.06891514703388,14.942752939343553,0.0,110.08403707353119,514,0,31,19.0,0.0,0.0,37.18411552346571,0.0,0.0,17.257342459329898,0.0,112.4993241316096,511,0,29,30,293
1,31,1282.3193733052124,514.3341367881892,0,10.745778296959232,0.0,157.2632386734561,13.926290848633455,0.0,78.96002167946804,566,0,31,18.0,0.0,0.0,37.71626297577855,0.0,0.0,17.95499288860616,0.0,104.73028983635413,568,0,29,31,301
1,32,1017.337906504065,520.8622967479674,0,30.363519901202178,0.0,31.038871547438717,5.034819696445232,0.0,253.89867588180888,562,0,31,7.0,0.0,0.0,39.02439024390244,0.0,0.0,5.4299255520305705,0.0,341.3112840620508,556,0,29,32,310
1,33,1495.7107081174438,554.1716753022453,0,10.488414420303192,0.0,0.9262741758132312,32.6971044683435,0.0,189.97940444194555,565,0,30,35.0,0.0,0.0,44.9468085106383,0.0,0.0,34.60155956072617,0.0,192.69442814547327,563,0,29,33,328
1,34,1234.922851276034,557.4514520387211,0,14.435878596843857,0.0,99.49712120057573,23.02938278246199,0.0,42.409331009163104,579,0,31,36.0,0.0,1.0,89.26174496644295,0.0,11.409395973154362,23.68495850539256,0.0,168.2375336878724,580,0,29,34,335
1,35,1186.823651452282,573.9757952973721,0,38.33540944293934,0.0,22.537036855236437,14.313372251272629,0.0,76.4827194435096,581,0,31,18.0,0.0,0.0,56.42458100558659,0.0,0.0,15.856556079689613,0.0,212.6671270477056,593,0,32,35,342
1,36,1547.5239948119327,584.0579334198011,0,123.02243000199441,0.0,2.7750439744027395,1.344363746722368,0.0,217.53672543009276,596,0,32,48.0,0.0,0.0,84.08163265306122,0.0,0.0,4.19073959501642,0.0,224.91886234094434,592,0,33,36,349
1,37,1259.9927470534906,589.9165911151405,0,141.93116039886084,0.0,25.244329520307097,11.62119637670127,0.0,1.6162231812761427,610,0,31,8.0,0.0,1.0,87.03703703703704,0.0,76.54320987654322,15.213849789664165,0.0,146.47919575295472,584,0,32,37,358
1,38,1522.0441107461286,624.8118254340685,0,36.61863261852105,0.0,3.6787065107194605,4.234758432567741,0.0,176.07657937397826,635,0,32,80.0,0.0,0.0,88.18565400843882,0.0,0.0,6.634570751193515,0.0,182.16516805773054,634,0,33,38,371
1,39,1223.5291308500477,618.896370582617,0,21.874462286190454,0.0,66.07770612679728,16.44003407608509,0.0,47.414562807940264,629,0,31,18.0,0.0,1.0,37.78801843317972,0.0,1.3824884792626728,19.26204382122235,0.0,157.61728818304297,621,0,32,39,375
1,40,1052.3664447403462,617.8892143808256,0,175.47757923940708,0.0,45.52799783703986,6.348452316299513,0.0,210.91944670878857,627,0,31,4.0,0.0,0.0,33.04597701149425,0.0,0.0,17.067347718101075,0.0,263.7308492942166,648,0,34,40,376
1,41,1575.3897610921501,639.9300341296928,0,7.396654288107674,0.0,3.162017342752438,30.793618029082538,0.0,221.60056573449137,636,0,32,45.0,0.0,0.0,37.59124087591241,0.0,0.0,30.927742605422548,0.0,225.71723374072874,638,0,33,41,385
1,42,1493.8255465066438,649.504500642949,0,5.816196723683292,0.0,4.755883765041486,23.607837871677624,0.0,140.7283101058566,664,0,32,51.0,0.0,0.0,42.91338582677165,0.0,0.0,24.061517491120124,0.0,145.99799928437412,662,0,33,42,387
1,43,1368.1649818034775,692.2331176708451,0,158.1411672001648,0.0,37.700005936834074,2.8187019693847097,0.0,8.094835805985415,713,0,32,18.0,0.0,2.0,40.57142857142857,0.0,0.0,4.416254816457236,0.0,18.43584251091792,715,0,33,43,410
1,44,1526.0050858232676,688.1595677050223,0,67.62768172609789,0.0,4.456484814297236,3.4330074520217737,0.0,165.1912549928598,717,0,32,63.0,0.0,0.0,100.0,0.0,0.0,3.7683779577373206,0.0,166.81204108699322,711,0,33,44,416
1,45,1065.7182944606413,710.5145772594752,0,11.064741064676117,0.0,51.318745650184276,21.787862402227987,0.0,206.50264042731277,752,0,34,16.0,0.0,0.0,49.09747292418773,0.0,0.0,22.91402093315804,0.0,229.63879240814407,751,0,31,45,430
1,46,1666.851358550879,705.8343100692595,0,49.49944541020511,0.0,2.4336939200435723,3.4196968193174513,0.0,306.0094233548318,740,0,32,13.0,0.0,0.0,79.46428571428571,0.0,0.0,3.8686096426928787,0.0,306.3677144849092,743,0,33,46,431
1,47,1086.1026455026456,742.7343915343915,0,15.178175810602522,0.0,53.20878843733603,10.153235396683538,0.0,177.95092324558527,757,0,34,15.0,0.0,0.0,66.87898089171975,0.0,0.0,12.378016522938946,0.0,232.24887928796778,755,0,31,47,458
1,48,1056.1747868453106,765.9250913520098,0,11.826798127127837,0.0,44.59988923395269,18.216280811628966,0.0,204.3456519714864,765,0,34,15.0,0.0,0.0,36.04060913705584,0.0,0.0,20.364528404925817,0.0,270.06000413404354,763,0,31,48,474
1,49,1233.8135764944275,775.5104694360014,0,1.5608322174565967,0.0,38.48726852932464,39.76634084682292,0.0,26.65753535611043,771,0,34,9.0,0.0,1.0,19.17562724014337,0.0,13.799283154121865,42.861021220603256,0.0,143.08421452148573,774,0,33,49,476
1,50,1307.3569918453638,798.5363938387194,0,6.519573564867104,0.0,99.84077945025852,27.134767830551404,0.0,50.67540013998165,778,0,34,15.0,0.0,1.0,48.148148148148145,0.0,8.641975308641975,28.108302634897168,0.0,104.11985947630737,775,0,33,50,503
1,51,1465.373381294964,826.826618705036,0,5.768327965180728,0.0,3.0883292643276676,24.602198676151698,0.0,157.73882901714737,807,0,33,41.0,0.0,0.0,59.35251798561151,0.0,0.0,25.858513578886193,0.0,167.36011139078758,797,0,32,51,509
1,52,1367.0412293853074,833.2237631184407,0,74.36346419684854,0.0,60.7629571903718,1.2663096803223277,0.0,119.32149842206742,804,0,34,66.0,0.0,0.0,90.41666666666667,0.0,0.0,2.9371299450531714,0.0,124.39586409996791,812,0,33,52,513
1,53,1326.4157782515992,839.0262970859986,0,3.1718121805229176,0.0,63.30179712502082,23.326644435754076,0.0,88.52334749298728,845,0,34,27.0,0.0,0.0,39.37823834196891,0.0,0.0,25.054339204506352,0.0,134.4193888770907,842,0,33,53,521
1,54,1432.2450155073107,849.7833407177669,0,77.5113770026619,0.0,2.146551940933621,2.2001502409044784,0.0,158.01043090188412,844,0,33,71.0,0.0,0.0,100.0,0.0,0.0,4.291518927139424,0.0,169.48500853159175,831,0,32,54,522
1,55,1344.8982035928143,865.5668662674651,0,3.761294628211864,0.0,50.63384748804574,5.734109404218001,0.0,120.18351263735696,871,0,34,40.0,0.0,0.0,74.27184466019418,0.0,0.0,8.2519194690452,0.0,157.34230093635207,874,0,33,55,542
